# Time-averaged data for fix 2
# TimeStep v_time c_thermo_temp c_thermo_press v_sysvol v_sysdensity v_cella v_cellb v_cellc v_etotal v_pe v_ke v_evdwl v_coulomb v_sxx v_syy v_szz v_syz v_sxz v_sxy v_xhi v_yhi v_zhi v_xlo v_ylo v_zlo
48000 47501 301.559 -2.78167 132058 0.0805787 21.9896 21.9896 273.106 1956.75 1148.65 808.103 320.491 0 0.353195 4.33206 3.65974 -1.70087 9.24249 -5.42266 21.9896 21.9896 1236.03 0 0 962.927
49000 48501 305.232 -18.3657 126326 0.0842353 21.9896 21.9896 261.25 1968.38 1150.43 817.945 311.306 0 16.003 17.4288 21.6654 2.44176 -8.2733 -0.147652 21.9896 21.9896 1230.1 0 0 968.855
50000 49501 301.868 -6.22292 120842 0.0880579 21.9896 21.9896 249.909 1951.96 1143.02 808.931 310.623 0 8.38448 -3.13504 13.4193 3.92516 7.34394 1.20579 21.9896 21.9896 1224.43 0 0 974.525
51000 50501 304.453 -11.163 115596 0.092054 21.9896 21.9896 239.061 1961.09 1145.23 815.857 306.741 0 5.83461 3.67134 23.983 -4.0082 2.13321 0.689738 21.9896 21.9896 1219.01 0 0 979.949
52000 51501 305.168 -9.73706 110578 0.0962314 21.9896 21.9896 228.683 1943.33 1125.56 817.772 289.411 0 12.0994 15.6231 1.48873 4.29765 8.18415 -3.39407 21.9896 21.9896 1213.82 0 0 985.138
53000 52501 304.308 -17.3434 105778 0.100598 21.9896 21.9896 218.756 1944.22 1128.75 815.469 289.054 0 13.1459 7.02145 31.8629 -4.50418 -11.3915 1.9478 21.9896 21.9896 1208.86 0 0 990.102
54000 53501 306.429 -13.6231 101186 0.105164 21.9896 21.9896 209.26 1944.63 1123.48 821.153 276.548 0 4.95866 6.72705 29.1837 -4.32777 6.73614 3.12999 21.9896 21.9896 1204.11 0 0 994.85
55000 54501 304.831 -10.7715 96793.5 0.109936 21.9896 21.9896 200.176 1927.09 1110.22 816.869 268.39 0 18.05 11.3041 2.96027 8.88207 6.83372 5.65086 21.9896 21.9896 1199.57 0 0 999.392
56000 55501 304.192 -18.67 92591.7 0.114925 21.9896 21.9896 191.486 1915.8 1100.64 815.157 260.396 0 14.575 9.13967 32.2953 -2.28681 2.76051 -8.70022 21.9896 21.9896 1195.22 0 0 1003.74
57000 56501 306.949 -8.62843 88572.2 0.12014 21.9896 21.9896 183.174 1921.16 1098.62 822.546 252.33 0 2.90095 18.265 4.71938 0.83843 3.48891 7.92225 21.9896 21.9896 1191.07 0 0 1007.89
58000 57501 307.521 -29.5246 84727.3 0.125592 21.9896 21.9896 175.222 1920.14 1096.06 824.079 249.194 0 24.0953 11.6432 52.8352 5.14723 -3.62052 -2.14858 21.9896 21.9896 1187.09 0 0 1011.87
59000 58501 304.604 -13.4304 81049.3 0.131291 21.9896 21.9896 167.616 1897.2 1080.94 816.262 241.847 0 9.17794 27.8916 3.22156 -0.0132857 6.71891 0.459141 21.9896 21.9896 1183.29 0 0 1015.67
60000 59501 304.14 -21.6592 77531 0.137249 21.9896 21.9896 160.34 1883.34 1068.33 815.017 233.088 0 20.0933 20.9536 23.9306 4.96126 -1.79289 13.1562 21.9896 21.9896 1179.65 0 0 1019.31
61000 60501 305.185 -36.4346 74165.3 0.143478 21.9896 21.9896 153.379 1882.69 1064.87 817.819 226.957 0 22.463 54.5063 32.3346 -14.0345 10.8097 -4.83498 21.9896 21.9896 1176.17 0 0 1022.79
62000 61501 301.798 -29.9384 70945.8 0.149989 21.9896 21.9896 146.721 1865.92 1057.17 808.742 222.793 0 51.3375 21.0836 17.3941 -17.7159 -6.77055 -3.77705 21.9896 21.9896 1172.84 0 0 1026.12
63000 62501 303.176 -37.5055 67866.1 0.156795 21.9896 21.9896 140.352 1870.45 1058.02 812.435 226.123 0 60.7736 12.8425 38.9004 -4.91627 5.11305 19.565 21.9896 21.9896 1169.66 0 0 1029.3
64000 63501 304.77 -43.9512 64920 0.163911 21.9896 21.9896 134.259 1882.5 1065.79 816.707 227.218 0 46.0617 54.6964 31.0956 17.9685 -5.66094 -10.5402 21.9896 21.9896 1166.61 0 0 1032.35
65000 64501 302.841 -59.8267 62101.8 0.171349 21.9896 21.9896 128.431 1853.93 1042.39 811.539 212.906 0 59.1315 63.6429 56.7056 3.07678 9.7068 -5.6263 21.9896 21.9896 1163.7 0 0 1035.26
66000 65501 304.24 -14.3835 59406 0.179125 21.9896 21.9896 122.856 1834.29 1019.01 815.286 194.164 0 58.9845 -9.96293 -5.87096 2.16532 -4.9279 -0.459059 21.9896 21.9896 1160.91 0 0 1038.05
67000 66501 304.77 -26.689 56827.2 0.187253 21.9896 21.9896 117.523 1822.39 1005.68 816.707 186.971 0 33.8261 44.7378 1.50307 -27.9873 2.28759 0.204635 21.9896 21.9896 1158.24 0 0 1040.72
68000 67501 304.182 -65.5827 54360.3 0.195751 21.9896 21.9896 112.421 1821.29 1006.16 815.132 180.025 0 57.6791 72.8644 66.2046 17.6069 -13.634 2.4423 21.9896 21.9896 1155.69 0 0 1043.27
69000 68501 306.761 -64.5995 52000.5 0.204634 21.9896 21.9896 107.541 1820.14 998.097 822.043 166.877 0 72.956 53.4086 67.4339 37.8876 17.7444 -8.66185 21.9896 21.9896 1153.25 0 0 1045.71
70000 69501 306.262 -41.0241 49743.2 0.21392 21.9896 21.9896 102.872 1813.44 992.735 820.706 159.159 0 63.9207 67.0835 -7.93185 -31.0419 1.64661 8.93961 21.9896 21.9896 1150.92 0 0 1048.04
71000 70501 305.303 -35.2622 47583.8 0.223628 21.9896 21.9896 98.4067 1795.18 977.044 818.134 146.535 0 45.4357 31.6875 28.6634 -15.1652 -16.1669 16.5514 21.9896 21.9896 1148.68 0 0 1050.28
72000 71501 303.825 -48.9318 45518.2 0.233776 21.9896 21.9896 94.1349 1786.12 971.945 814.175 142.366 0 77.8908 102.724 -33.8199 -3.51146 -8.94215 0.870457 21.9896 21.9896 1146.55 0 0 1052.41
73000 72501 303.14 -95.531 43542.2 0.244385 21.9896 21.9896 90.0485 1781.81 969.469 812.339 137.433 0 70.0152 107.961 108.617 -0.967178 21.9032 27.9893 21.9896 21.9896 1144.5 0 0 1054.46
74000 73501 306.594 -58.9196 41652.1 0.255475 21.9896 21.9896 86.1395 1797.51 975.911 821.595 131.563 0 50.9051 52.7244 73.1291 -0.858141 2.9615 0.550132 21.9896 21.9896 1142.55 0 0 1056.41
75000 74501 305.236 -137.301 39844 0.267069 21.9896 21.9896 82.4002 1786.48 968.522 817.955 125.864 0 96.4114 196.863 118.628 -44.1089 9.69894 2.58151 21.9896 21.9896 1140.68 0 0 1058.28
76000 75501 306.341 -93.3692 38114.3 0.279188 21.9896 21.9896 78.8232 1780.16 959.24 820.917 115.721 0 89.6413 104.659 85.8072 33.0327 39.4726 -2.43701 21.9896 21.9896 1138.89 0 0 1060.07
77000 76501 304.348 -51.1658 36459.8 0.291858 21.9896 21.9896 75.4015 1754.91 939.335 815.576 106.67 0 68.7361 61.0371 23.7242 41.4349 -20.8041 45.513 21.9896 21.9896 1137.18 0 0 1061.78
